,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
202,13.8,0.208,75,1.0,2.1,2017,1,9,11,17.44,25.733,18.8,0
203,13.8,0.208,75,1.0,2.1,2017,1,9,12,36.0,25.636,17.44,2
204,13.8,0.208,75,1.0,2.1,2017,1,9,13,18.8,22.686,36.0,0
205,13.8,0.208,75,1.0,2.1,2017,1,9,14,18.88,24.367,18.8,0
206,13.8,0.208,75,1.0,2.1,2017,1,9,15,19.4,25.663,18.88,0
207,13.8,0.208,75,1.0,2.1,2017,1,9,16,18.68,23.637,19.4,0
208,13.8,0.208,75,1.0,2.1,2017,1,9,17,19.36,23.268,18.68,0
209,13.8,0.208,75,1.0,2.1,2017,1,9,18,8.2,6.702,19.36,0
210,13.8,0.208,75,1.0,2.1,2017,1,9,19,5.8,5.796,8.2,0
211,13.8,0.208,75,1.0,2.1,2017,1,9,20,4.68,6.483,5.8,0
212,13.8,0.208,75,1.0,2.1,2017,1,9,21,5.16,4.309,4.68,0
213,13.8,0.208,75,1.0,2.1,2017,1,9,22,4.96,6.464,5.16,0
214,13.8,0.208,75,1.0,2.1,2017,1,9,23,5.08,4.276,4.96,0
215,13.8,0.208,75,1.0,2.1,2017,1,10,0,4.68,3.423,5.08,0
216,13.8,0.208,75,1.0,2.1,2017,1,10,1,5.4,3.918,4.68,0
217,13.8,0.208,75,1.0,2.1,2017,1,10,2,4.92,3.597,5.4,0
218,13.8,0.208,75,1.0,2.1,2017,1,10,3,4.76,3.713,4.92,0
219,13.8,0.208,75,1.0,2.1,2017,1,10,4,4.64,4.05,4.76,0
220,13.8,0.208,75,1.0,2.1,2017,1,10,5,5.36,4.044,4.64,0
221,13.8,0.208,75,1.0,2.1,2017,1,10,6,4.4,3.766,5.36,0
222,13.8,0.208,75,1.0,2.1,2017,1,10,7,10.68,3.639,4.4,0
223,13.8,0.208,75,1.0,2.1,2017,1,10,8,38.32,20.963,10.68,2
224,13.8,0.208,75,1.0,2.1,2017,1,10,9,20.4,23.01,38.32,0
225,13.8,0.208,75,1.0,2.1,2017,1,10,10,20.84,24.694,20.4,0
226,13.8,0.208,75,1.0,2.1,2017,1,10,11,20.68,24.573,20.84,0
227,13.8,0.208,75,1.0,2.1,2017,1,10,12,18.64,23.792,20.68,0
228,13.8,0.208,75,1.0,2.1,2017,1,10,13,18.96,27.319,18.64,0
229,13.8,0.208,75,1.0,2.1,2017,1,10,14,18.52,23.776,18.96,0
230,13.8,0.208,75,1.0,2.1,2017,1,10,15,17.88,23.49,18.52,0
231,13.8,0.208,75,1.0,2.1,2017,1,10,16,16.8,24.492,17.88,0
232,13.8,0.208,75,1.0,2.1,2017,1,10,17,17.64,24.573,16.8,0
233,13.8,0.208,75,1.0,2.1,2017,1,10,18,7.64,12.857,17.64,0
234,13.8,0.208,75,1.0,2.1,2017,1,10,19,5.16,6.806,7.64,0
235,13.8,0.208,75,1.0,2.1,2017,1,10,20,0.0,5.102,5.16,1
236,13.8,0.208,75,1.0,2.1,2017,1,10,21,0.0,4.405,0.0,1
237,13.8,0.208,75,1.0,2.1,2017,1,10,22,4.88,5.967,0.0,0
238,13.8,0.208,75,1.0,2.1,2017,1,10,23,5.28,4.398,4.88,0
239,13.8,0.208,75,1.0,2.1,2017,1,11,0,4.84,3.868,5.28,0
240,13.8,0.208,75,1.0,2.1,2017,1,11,1,5.04,4.023,4.84,0
241,13.8,0.208,75,1.0,2.1,2017,1,11,2,0.0,4.443,5.04,1
242,13.8,0.208,75,1.0,2.1,2017,1,11,3,5.44,3.619,0.0,0
243,13.8,0.208,75,1.0,2.1,2017,1,11,4,5.0,3.927,5.44,0
